P or a T?,IC3 Social,IC4&6 emotional,IC5 communication,IC2 Academic,PP3 Social,PP4&6 emotional,PP5 communication,PP2 academic
P,4,4,4,4,5,4.5,5,4
P,1,3,2,1,5,5,5,5
T,4,4,4,4,5,3,5,5
P,5,5,5,5,5,5,5,5
T,3,4.5,4,3,5,4.5,5,5
P,3,3.5,3,3,3,4.5,4,3
P,2,3,4,3,5,5,5,5
P,2,3,3,3,5,5,5,5
P,3,4.5,5,3,5,4.5,5,4
P,4,5,5,1,5,5,5,5
P,2,3,4,2,5,5,5,5
T,2,4,4,4,5,5,5,5
T,3,3,3,3,5,5,5,5
P,4,4,4,3,4,4.5,4,4
P,4,4.5,5,4,5,4.5,4,4
P,4,3,4,3,5,4.5,5,4
P,3,4,3,3,5,5,5,5
P,3,3.5,3,3,5,4.5,4,5
P,5,4.5,5,4,5,5,5,5
P,2,2,2,3,5,4,4,3
P,3,3,3,3,3,3,3,3
T,2,4,3,5,5,5,5,5
T,3,3,3,3,4,4,4,4
T,4,5,4,2,5,4.5,5,5
P,3,3,3,3,5,4.5,5,4
P,3,4.5,3,4,5,3,5,2
P,5,5,5,3,5,5,5,5
P,2,3,3,1,4,4,5,3
P,3,3,3,3,5,5,5,5
T,4,4.5,4,3,5,4.5,5,4
P,4,2,2,3,5,5,5,5
P,4,4,5,4,5,5,5,5
P,3,2.5,3,3,5,5,5,5
P,4,4,4,4,5,5,5,5
P,2,3,2,2,4,4,4,4
T,4,4.5,4,3,5,5,5,5
P,4,3,2,2,5,4,5,5
P,3,3.5,3,4,4,3.5,4,4
T,2,3.5,2,2,4,3.5,3,4
P,2,3,3,2,5,5,5,2
P,3,3.5,3,3,4,4,5,4
P,4,4.5,2,3,5,5,5,1
T,2,2.5,3,2,4,3.5,3,4
T,4,3.5,3,4,3,3,4,5
T,5,5,5,5,5,5,5,5
P,4,2.5,1,1,5,5,5,5
P,4,4,4,1,5,5,5,5
P,5,5,5,5,5,4.5,5,5
P,4,4.5,4,4,4,4.5,4,5
P,3,3,3,3,5,5,5,5
P,2,4,3,2,4,4,4,4
P,4,4,4,3,5,5,4,5
P,3,3,3,3,5,5,5,5
P,3,3.5,2,5,5,5,5,4
T,4,4,4,2,5,4.5,5,3
P,2,3.5,3,2,4,4.5,4,5
P,3,3.5,3,3,4,5,5,5
P,5,4.5,4,5,5,4.5,5,5
T,3,3,3,1,5,4,5,5
P,4,5,5,4,5,5,4,3
P,4,4,4,2,5,4.5,5,4
T,2,5,4,2,4,4.5,4,2
P,5,4.5,5,5,5,4.5,5,5
P,3,3.5,3,3,5,4.5,5,5
P,4,3,3,2,4,3.5,4,3
P,3,3,3,3,4,4,4,5
T,4,3.5,3,3,5,4.5,5,4
P,2,3,2,2,5,5,5,5
P,3,4.5,2,4,5,4.5,5,5
T,4,2,4,2,5,5,5,4
P,3,3,3,4,4,3.5,4,4
P,3,3.5,4,3,4,4.5,4,5
P,2,3,2,4,5,5,5,5
P,5,3.5,5,5,5,4.5,4,4
P,4,3.5,4,3,5,4,5,5
P,5,5,5,3,5,5,5,5
P,4,4.5,4,4,4,5,5,4
P,3,3,3,3,5,4,5,4
T,2,3,2,3,5,4.5,5,4
P,4,4.5,5,4,5,4,5,5
T,4,3.5,4,2,5,4.5,5,3
P,5,5,5,4,5,5,5,5
P,4,4,4,2,4,4,4,4
P,4,4.5,3,3,5,5,5,5
P,3,3,3,3,4,4.5,5,4
P,5,4.5,4,4,5,5,5,5
T,3,4,3,3,5,3.5,2,4
P,3,4,3,2,5,4.5,4,4
